ITERATION      PRN     AZIMUTH      ELEV     CODE RESIDUAL(m) 
1              G06      30.85      78.05          -0.19  
1              G17      92.59      49.24          +0.10  
1              G30      15.74      41.15          +0.65  
1              G10      45.71      29.73          +0.27  
1              G23      20.37      22.24          -1.56  
                                           
2              G06      30.90      78.03          -0.02  
2              G17      92.61      49.25          +0.05  
2              G30      15.73      41.16          +0.68  
2              G10      45.71      29.72          +0.16  
2              G23      20.36      22.24          -1.44  
                                           
3              G06      30.90      78.03          -0.11  
3              G17      92.61      49.25          +0.06  
3              G30      15.73      41.16          +0.63  
3              G10      45.71      29.72          +0.20  
3              G23      20.36      22.24          -1.40  
                                           
4              G06      30.90      78.03          -0.16  
4              G17      92.61      49.25          +0.05  
4              G30      15.73      41.16          +0.63  
4              G10      45.71      29.72          +0.29  
4              G23      20.36      22.24          -1.27  
                                           
5              G06      30.90      78.03          -0.16  
5              G17      92.61      49.25          +0.06  
5              G30      15.73      41.16          +0.62  
5              G10      45.71      29.72          +0.29  
5              G23      20.36      22.24          -1.27  
                                           
6              G06      30.90      78.03          -0.18  
6              G17      92.61      49.25          +0.06  
6              G30      15.73      41.16          +0.61  
6              G10      45.71      29.72          +0.33  
6              G23      20.36      22.24          -1.22  
                                           
7              G06      30.90      78.03          -0.18  
7              G17      92.61      49.25          +0.07  
7              G30      15.73      41.16          +0.60  
7              G10      45.71      29.72          +0.32  
7              G23      20.36      22.24          -1.22  
                                           
8              G06      30.90      78.03          -0.19  
8              G17      92.61      49.25          +0.07  
8              G30      15.73      41.16          +0.59  
8              G10      45.71      29.72          +0.35  
8              G23      20.36      22.24          -1.19  
                                           
9              G06      30.90      78.03          -0.19  
9              G17      92.61      49.25          +0.07  
9              G30      15.73      41.16          +0.59  
9              G10      45.71      29.72          +0.34  
9              G23      20.36      22.24          -1.19  
                                           
10              G06      30.90      78.03          -0.19  
10              G17      92.61      49.25          +0.07  
10              G30      15.73      41.16          +0.58  
10              G10      45.71      29.72          +0.36  
10              G23      20.36      22.24          -1.17  
                                           
